business_name,business_status,street_name_address,lot_address,latitude,longitude
GS25광주쌍용점,영업,"경기도 광주시 회안대로 350-22, 1층 (태전동)",경기도 광주시 태전동 7-4번지 ,37.3855057,127.2365046
미니스톱 광주성공점,영업,"경기도 광주시 오포읍 매자리길 6, 매산리 상가 1층",경기도 광주시 오포읍 매산리 224-14번지 매산리 상가 1층,37.356454,127.2470019
GS25 태전중앙점,영업,"경기도 광주시 태전동로 56, 힐스테이트 태전 1544 지1층 102호 (태전동)",경기도 광주시 태전동 700번지 힐스테이트 태전 1544 지1층 102호,37.3838394,127.2316216
씨유 광주늑현점,영업,"경기도 광주시 초월읍 산수로 74, 1층",경기도 광주시 초월읍 늑현리 32-1번지 1층,37.3682597,127.31833
GS25 광주수레실,영업,"경기도 광주시 오포읍 수레실길 58-4, 1층",경기도 광주시 오포읍 능평리 521-26번지 1층 ,37.3500328,127.1602689
기숙사휴게업,영업,"경기도 광주시 곤지암읍 경충대로 26, 기숙사동 2층",경기도 광주시 곤지암읍 신촌리 산 1-1번지,37.3277417,127.4017441
세븐일레븐 경기광주고불로점,영업,경기도 광주시 고불로 180 (태전동),경기도 광주시 태전동 502-8번지 ,37.3950638,127.2183977
GS광주탄벌점,영업,경기도 광주시 회안대로 645 (탄벌동),경기도 광주시 탄벌동 535번지,37.4101431,127.2390886
세븐일레븐 경기광주고산점,영업,"경기도 광주시 오포읍 고산길 25, 1층 (1호동)",경기도 광주시 오포읍 고산리 318-3번지 1호동 1층,37.3703381,127.2291195
세븐일레븐 경기광주쌍동점,영업,"경기도 광주시 초월읍 경충대로 1112, 1층",경기도 광주시 초월읍 쌍동리 253-39번지 1층,37.3760105,127.2965048
Cu편의점,영업,"경기도 광주시 문화로 110-40, 1층 (경안동)",경기도 광주시 경안동 148-4번지 1층,37.4125567,127.2528091
이마트24 광주삼리점,영업,"경기도 광주시 곤지암읍 경충대로 732-6, 1층 (LK빌딩)",경기도 광주시 곤지암읍 삼리 98-4번지 LK빌딩 1층,37.3541469,127.3293884
미니스톱 광주능평점,영업,"경기도 광주시 오포읍 대명대길 8, 1층",경기도 광주시 오포읍 능평리 351번지 1층,37.3565117,127.1664339
세븐일레븐 경기광주신현본점,영업,"경기도 광주시 오포읍 신현로 125, 1층 (SH빌딩 C동)",경기도 광주시 오포읍 신현리 367-9번지 SH빌딩 C동 1층,37.3587004,127.1603208
GS25광주이편한점,영업,"경기도 광주시 장지1길 25, 2층 (장지동)",경기도 광주시 장지동 57-4번지 ,37.39567004,127.2450286
세븐일레븐 경기광주남촌점,영업,"경기도 광주시 초월읍 경충대로 1333-1, 1층",경기도 광주시 초월읍 대쌍령리 365-6번지 1층,37.3921461,127.2822261
GS25오포센터,영업,"경기도 광주시 오포읍 오포로 676, 1층",경기도 광주시 오포읍 추자리 363-21번지 1층,37.3572875,127.2167094
CU곤지암건업점,영업,"경기도 광주시 곤지암읍 광여로 703, 1층",경기도 광주시 곤지암읍 건업리 556-7번지 1층 ,37.3752073,127.4042984
이삭토스트,영업,"경기도 광주시 오포읍 머루숯길 8, 주건축물제1동 1층",경기도 광주시 오포읍 신현리 676-6번지 주건축물제1동 1층,37.3604816,127.1556514
세븐일레븐 곤지암스타,영업,"경기도 광주시 곤지암읍 평촌길 30-3, 1층",경기도 광주시 곤지암읍 삼리 132-7번지 1층 ,37.3565624,127.3258096
GS25편의점(오포사랑점),영업,"경기도 광주시 오포읍 오포로 335, 1층",경기도 광주시 오포읍 문형리 705-17번지 1층 ,37.3445085,127.1973413
지에스25신현중앙,영업,"경기도 광주시 오포읍 머루숯길 8, 1층",경기도 광주시 오포읍 신현리 676-6번지 1층 ,37.36048161,127.1556515
이마트24 벌원점,영업,"경기도 광주시 회안대로 621-21, 1층 102-2호 (장지동, 벽산블루밍1단지)",경기도 광주시 장지동 756번지 벽산블루밍1단지 상가동 1층 102-2호,37.4077626,127.2354781
이마트24 광주진우리점,영업,"경기도 광주시 도척면 도척로 356-3, 1층",경기도 광주시 도척면 진우리 418-5번지 1층 ,37.3206844,127.3354486
세븐일레븐 경기광주태재점,영업,"경기도 광주시 오포읍 태재로 20-13, 이편한세상태재1단지 상가동 1층 102호",경기도 광주시 오포읍 신현리 1236번지 이편한세상태재1단지 상가동 1층 102호,37.3586523,127.155817
