street_name_address,lot_address,latitude,longitude
경기도 수원시 팔달구 세지로 236,경기도 수원시 팔달구 인계동 819-2,37.2723232,127.0242023
경기도 수원시 팔달구 효원로193번길 35,경기도 수원시 팔달구 인계동 999-15,37.2654575,127.0235014
경기도 수원시 장안구 연무로32번길 28,경기도 수원시 장안구 연무동 219-7,37.2954247,127.0286975
경기도 수원시 장안구 정조로934번길 90-13,경기도 수원시 장안구 영화동 102-36,37.2924262,127.0171707
경기도 수원시 장안구 장안로29번길 20,경기도 수원시 장안구 영화동 423-8,37.2870659,127.0044494
경기도 수원시 장안구 대평로162번길 33,,37.3024819,126.991005
경기도 수원시 장안구 금당로 56,,37.3017609,127.0164732
경기도 수원시 장안구 파장천로26번길 54,경기도 수원시 장안구 파장동 597-18,37.3063478,126.9974225
경기도 수원시 장안구 파장로22번길 30,경기도 수원시 장안구 파장동 603-7,37.3053207,126.9994755
경기도 수원시 팔달구 월드컵로211번길 24,,37.2791214,127.0422227
경기도 수원시 권선구 고색로18번길 22,경기도 수원시 권선구 고색동 397-26,37.2481031,126.9794269
,경기도 수원시 권선구 금곡동 1155,37.2716496,126.9379517
경기도 수원시 권선구 효원로148번길 26,,37.2638726,127.0173119
경기도 수원시 권선구 세권로34번길 2,,37.2593773,127.0079772
경기도 수원시 권선구 탑동로36번길 11,경기도 수원시 권선구 탑동 790-9,37.2722948,126.975011
경기도 수원시 권선구 평동로76번길 2,경기도 수원시 권선구 평동 37-1,37.2578182,126.9933905
경기도 수원시 권선구 정조로543번길 18,,37.2580976,127.0106712
경기도 수원시 권선구 장다리로 37,,37.2540152,127.0185612
경기도 수원시 영통구 매여울로40번길 32,,37.2722088,127.0469432
경기도 수원시 영통구 권선로820번길 43,,37.2555429,127.0377242
,경기도 수원시 영통구 매탄동 916-1,37.2672904,127.0437498
,경기도 수원시 영통구 원천동 29-78,37.2782105,127.0445563
경기도 수원시 장안구 수원천로472번길 13,경기도 수원시 장안구 연무동 251-6,37.2935154,127.0242534
,경기도 수원시 장안구 정자동 383,37.3017072,126.9933398
경기도 수원시 장안구 하률로11번길 10,경기도 수원시 장안구 천천동 549-15,37.3033982,126.9747514
,경기도 수원시 팔달구 남수동 11-847,37.28501,127.0226948
경기도 수원시 팔달구 월드컵로321번길 17,,37.2861251,127.0330246
경기도 수원시 팔달구 정조로777번길 9,경기도 수원시 팔달구 팔달로3가 102-3,37.2773162,127.0156457
경기도 수원시 권선구 고색로54번길 65,경기도 수원시 권선구 고색동 299-11,37.2474102,126.9839467
경기도 수원시 권선구 구운로 46-1,경기도 수원시 권선구 구운동 493-16,37.2778718,126.9733965
,경기도 수원시 권선구 당수동 282-18,37.2926796,126.9380916
,경기도 수원시 권선구 탑동 540-376,37.2652411,126.9813155
경기도 수원시 팔달구 고매로 24,경기도 수원시 팔달구 고등동 66-18,37.2715412,127.0053398
,경기도 수원시 팔달구 매산로1가 57-126,37.265207,127.0024761
경기도 수원시 영통구 매영로35번길 21-22,,37.2707135,127.0459372
경기도 수원시 영통구 매영로35번길 21-1,,37.2702356,127.0468857
,경기도 수원시 영통구 매탄동 198-43,37.270236,127.0457244
경기도 수원시 영통구 매영로35번길 15,,37.2701005,127.0468293
경기도 수원시 영통구 매영로35번길 5,,37.269623,127.0466148
경기도 수원시 영통구 매영로35번길 7-21,,37.2699568,127.0455326
경기도 수원시 영통구 매탄로51번길 6,,37.2559025,127.0401929
경기도 수원시 영통구 매탄로51번길 8-16,,37.2565422,127.0404187
경기도 수원시 영통구 매탄로160번길 7-6,,37.2646857,127.0457213
경기도 수원시 영통구 매탄로160번길 19,경기도 수원시 영통구 매탄동 833-27,37.2644062,127.0461946
경기도 수원시 영통구 매탄로160번길 26,,37.2641268,127.0464425
경기도 수원시 영통구 매탄로160번길 36,,37.26454838,127.0468598
경기도 수원시 영통구 매탄로160번길 40,경기도 수원시 영통구 매탄동 840,37.2647123,127.0469727
경기도 수원시 권선구 덕영대로1106번길 53-13,,37.2511325,127.0130375
경기도 수원시 권선구 덕영대로1106번길 51,,37.250709,127.0128121
경기도 수원시 권선구 정조로482번길 42,,37.2515469,127.0134547
경기도 수원시 권선구 덕영대로1126번길 26-6,,37.2510964,127.0134208
경기도 수원시 장안구 정조로1110번길 6-10,경기도 수원시 장안구 송죽동 448-16,37.3034556,127.0016412
경기도 수원시 장안구 정조로1110번길 14-4,경기도 수원시 장안구 송죽동 448-26,37.303789,127.0014156
경기도 수원시 장안구 정조로1110번길 14,경기도 수원시 장안구 송죽동 449-17,37.3040953,127.0016186
경기도 수원시 장안구 장안로103번길 54-11,,37.2921747,126.9980889
경기도 수원시 장안구 장안로103번길 54,,37.2918774,126.9985852
,경기도 수원시 팔달구 고등동 50-12,37.2753166,127.0048325
경기도 수원시 팔달구 고등로59번길 40-1,경기도 수원시 팔달구 고등동 51-26,37.2751544,127.0034457
