business_name,business_status,street_name_address,lot_address,latitude,longitude
GS25수원서둔점,영업,"경기도 수원시 권선구 여기산로 16, 1층 (서둔동)",경기도 수원시 권선구 서둔동 260-29번지 ,37.27879454,126.9787169
세븐일레븐 영통5단지점,영업,"경기도 수원시 영통구 영통로290번길 25, 상가 나동 1층 101호 (영통동)",경기도 수원시 영통구 영통동 964-5번지 상가나동 101호,37.25212676,127.0632529
GS25권선오길점,영업,경기도 수원시 권선구 권선로682번길 38 (권선동),경기도 수원시 권선구 권선동 1034-7번지,37.2576273,127.0248632
미니스톱세류주공점,영업,"경기도 수원시 권선구 세권로 16 (세류동, 1층일부)",경기도 수원시 권선구 세류동 253-4번지 1층일부 ,37.25984591,127.0060384
위드미편의점,영업,경기도 수원시 장안구 영화로97번길 32 (정자동),경기도 수원시 장안구 정자동 37-27번지,37.2942922,127.0033669
GS25장안수일로점,영업,경기도 수원시 장안구 수일로92번길 9 (파장동),경기도 수원시 장안구 파장동 525-1번지 ,37.30937535,127.0006711
세븐일레븐 수성로점,영업,"경기도 수원시 장안구 수성로290번길 73, 1층 (영화동)",경기도 수원시 장안구 영화동 419-8번지 ,37.28798501,127.0062876
GS25수원수인점,영업,"경기도 수원시 권선구 수인로 275, 1층 (구운동)",경기도 수원시 권선구 구운동 921-4번지 1층내,37.281818,126.9722561
세븐일레븐(수원영통점),영업,"경기도 수원시 영통구 청명로 7 (영통동,청명타운텔)",경기도 수원시 영통구 영통동 1021-4번지 청명타운텔 ,37.24835146,127.0788604
미니스톱수원구운점,영업,경기도 수원시 권선구 구운로86번길 3 (구운동),경기도 수원시 권선구 구운동 476번지,37.2811245,126.9732599
GS25세류유천,영업,"경기도 수원시 권선구 정조로565번길 3, 1층 (세류동)",경기도 수원시 권선구 세류동 476-9번지 1층,37.259404,127.0122834
GS편의점 고등오거리점,영업,"경기도 수원시 팔달구 고화로62번길 1, 1층 (고등동)",경기도 수원시 팔달구 고등동 29-16번지 1층,37.274821,127.0063659
CU광교센트럴비즈점,영업,"경기도 수원시 영통구 창룡대로 260, 광교 센트럴비즈타워 1층 104호 (이의동)",경기도 수원시 영통구 이의동 1283번지 광교 센트럴비즈타워 104호,37.29537744,127.037393
미니스톱화서벽산점,영업,"경기도 수원시 팔달구 팔달로165번길 39, B01호 (화서동)",경기도 수원시 팔달구 화서동 11-41번지 ,37.28362409,127.0034458
(수원영화점)GS25편의점,영업,경기도 수원시 장안구 장안로18번길 1 (영화동),경기도 수원시 장안구 영화동 425-16번지,37.2867866,127.0064228
GS25수원일월점,영업,경기도 수원시 권선구 일월천로15번길 5-2 (구운동),경기도 수원시 권선구 구운동 901-2번지,37.2836832,126.9725373
미니스톱 세류중앙점,영업,"경기도 수원시 권선구 정조로 523, 1층 (세류동)",경기도 수원시 권선구 세류동 459-3번지 1층,37.2558811,127.0109528
GS25우만싱싱점,영업,"경기도 수원시 팔달구 경수대로656번길 63, 1층 (우만동)",경기도 수원시 팔달구 우만동 503-17번지 ,37.2855668,127.0314795
미니스톱 화서동말점,영업,경기도 수원시 팔달구 동말로 50 (화서동),경기도 수원시 팔달구 화서동 114-2번지,37.2785692,126.9995556
GS25권선곡선점,영업,"경기도 수원시 권선구 동수원로146번길 144-2, 1층 (곡반정동)",경기도 수원시 권선구 곡반정동 512-6번지 1층,37.2444342,127.0340336
GS25수원그랜드점,영업,경기도 수원시 권선구 세지로28번길 13 (세류동),경기도 수원시 권선구 세류동 1091-10번지,37.254466,127.0163971
씨유 수원세종타운점,영업,"경기도 수원시 권선구 금곡로 204, 세종타운721 1층 121호 (금곡동)",경기도 수원시 권선구 금곡동 1118-1번지 세종타운721,37.2735942,126.9532613
GS25금곡우성점,영업,"경기도 수원시 권선구 금곡로 106, 112호 (금곡동, 우성메디피아)",경기도 수원시 권선구 금곡동 1085-2번지 우성메디피아 112호,37.2738773,126.9419862
씨유연무스타점,영업,경기도 수원시 장안구 연무로42번길 41 (연무동),경기도 수원시 장안구 연무동 216-22번지 ,37.29659623,127.0278408
미니스톱 고색산단1점,영업,"경기도 수원시 권선구 산업로 180, DH테크타워 1층 115,116호 (고색동)","경기도 수원시 권선구 고색동 1094번지 DH테크타워 115,6호",37.2423554,126.9841171
GS25영통망포점,영업,"경기도 수원시 영통구 영통로112번길 24, 1층 (망포동)",경기도 수원시 영통구 망포동 540-15번지,37.2390198,127.0567736
미니스톱수원연무점,영업,경기도 수원시 장안구 연무로 54 (연무동),경기도 수원시 장안구 연무동 233-21번지,37.2957316,127.0258104
미니스톱수원세류2점,영업,경기도 수원시 권선구 정조로 588 (세류동),경기도 수원시 권선구 세류동 167-1번지,37.261269,127.0138055
GS25수원정연,영업,"경기도 수원시 장안구 대평로 80, 120호 (정자동)",경기도 수원시 장안구 정자동 877-4번지 120호,37.2954812,126.9935662
씨유세류일등점,영업,"경기도 수원시 권선구 경수대로225번길 72, 1층 (세류동)",경기도 수원시 권선구 세류동 1148번지 1층,37.2489878,127.0152239
GS25 장안천천,영업,경기도 수원시 장안구 덕영대로511번길 27 (천천동),경기도 수원시 장안구 천천동 506-8번지,37.2990113,126.979975
미니스톱 수원병무청점,영업,"경기도 수원시 팔달구 고화로 129-1, 101동 201호 (화서동)",경기도 수원시 팔달구 화서동 58-3번지 101동 201호,37.2810651,127.0063324
씨유권선향원점,영업,경기도 수원시 권선구 세지로82번길 4 (권선동),경기도 수원시 권선구 권선동 999번지,37.2589349,127.0179986
세븐일레븐 영통9단지점,영업,"경기도 수원시 영통구 봉영로1517번길 73, 상가동 1층 108,109호 (영통동, 삼성.태영 아파트)",경기도 수원시 영통구 영통동 969-1번지 삼성.태영 아파트 ,37.24918915,127.063724
세븐일레븐(수원인계3호점),영업,"경기도 수원시 팔달구 인계로138번길 36 (인계동,외2필지(1040-5,1040-11))","경기도 수원시 팔달구 인계동 1040-4번지 외2필지(1040-5,1040-11) ",37.26546487,127.0316974
씨유 수원현대점,영업,"경기도 수원시 장안구 경수대로1020번길 6, 일층 (송죽동)",경기도 수원시 장안구 송죽동 481번지 (일층) ,37.3070417,127.0005922
세븐일레븐(수원영통4호점),영업,경기도 수원시 영통구 봉영로1482번길 17-4 (영통동),경기도 수원시 영통구 영통동 985-5번지 ,37.24518695,127.0668089
씨유 수원세류타운점,영업,"경기도 수원시 권선구 정조로525번길 16, 1층 (세류동)",경기도 수원시 권선구 세류동 460-33번지 1층,37.2560974,127.0102878
미니스톱영통아셈점,영업,"경기도 수원시 영통구 청명남로 21 (영통동,아셈프라자 109호)",경기도 수원시 영통구 영통동 998-6번지 아셈프라자 109호,37.2519944,127.0743891
GS25 수원천로,영업,"경기도 수원시 권선구 수원천로 5, 1층 (세류동)",경기도 수원시 권선구 세류동 454-7번지,37.25571,127.0085293
세븐일레븐 서둔중앙점,영업,"경기도 수원시 권선구 세화로151번길 18-18, 1층 (서둔동)",경기도 수원시 권선구 서둔동 17-276번지,37.2659004,126.9925665
GS25권선구운점,영업,"경기도 수원시 권선구 구운로 12-1, 1층 (구운동)",경기도 수원시 권선구 구운동 504-13번지,37.2769896,126.9767005
씨유수원화서,영업,경기도 수원시 팔달구 팔달로119번길 16 (화서동),경기도 수원시 팔달구 화서동 71-93번지,37.2792901,127.0028143
GS25매산중앙,영업,"경기도 수원시 팔달구 효원로60번길 30, 1층 (매산로3가)",경기도 수원시 팔달구 매산로3가 94-1번지 1층,37.2676577,127.007617
